date_admission,branch_id,enrollment,course,till_date,student_name,father_name,father_occupation,student_dob,gender,profile_image,address1,address2,student_state,student_district,student_phone,w_phone,student_email,student_status
2024-01-01,6,KTL2016060900027,238,2016-04-01,Manisha,Mr. Rajiv Kumar,developer,2002-08-31,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,KTL2016060900027@gmail.com,running
2024-01-01,6,KTL2016060900021,238,2016-04-06,Jaspinderpreet Singh,Mr. Tarlochan Sinhg,developer,2002-09-01,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,jaspinderpreet.singh@gmail.com,running
2024-01-01,6,KTL2016060900022,238,2016-04-08,Dilraj Singh,Mr. Joginder Singh,developer,2002-09-02,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,dilraj.singh@gmail.com,running
2024-01-01,6,KTL2016060900023,238,2016-04-08,Shinam,Mr. Vipan Puri,developer,2002-09-03,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,KTL2016060900023@gmail.com,running
2024-01-01,6,KTL2016060900024,238,2016-04-08,Anjali Bagga,Mr. Lakhwinder Bagga,developer,2002-09-04,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,anjali.bagga@gmail.com,running
2024-01-01,6,KTL2016060900025,238,2016-04-09,Neeraj Badyal,Mr. Surjit Kumar,developer,2002-09-05,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,neeraj.badyal@gmail.com,running
2024-01-01,6,KTL2016060900017,6,2016-04-10,Arshdeep Singh,Mr. Sukhdev Singh,developer,2002-09-06,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,arshdeep.singh@gmail.com,running
2024-01-01,6,KTL2016060900028,238,2016-04-11,Amandeep Kaur,Mr. Paranjit Singh,developer,2002-09-07,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,amandeep.kaur@gmail.com,running
2024-01-01,6,KTL2016060900029,238,2016-04-14,Saloni Arora,Mr. Akash Arora,developer,2002-09-08,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,saloni.arora@gmail.com,running
2024-01-01,6,KTL2016060900030,238,2016-04-14,Bharti Aggarwal,Mr. Ravi Aggarwal,developer,2002-09-09,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,bharti.aggarwal@gmail.com,running
2024-01-01,6,KTL2016060900031,238,2016-04-18,Manpreet Kaur,Mr. Ashok Kumar,developer,2002-09-10,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,manpreet.kaur@gmail.com,running
2024-01-01,6,KTL2016060900018,238,2016-05-04,Karanjit Singh,Mr. Kehar Singh,developer,2002-09-11,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,karanjit.singh@gmail.com,running
2024-01-01,6,KTL2016060900016,238,2016-05-10,Ajaypal Singh,Mr. Joginder Singh,developer,2002-09-12,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ajaypal.singh@gmail.com,running
2024-01-01,4,RON2018041194196,238,2016-06-01,Sahidul Islam Laskar,NULL,developer,2002-09-13,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sahidul.islamlaskar@gmail.com,complete
2024-01-01,4,RON2018041194195,238,2016-09-07,Sakir Ahmed Mazumder,NULL,developer,2002-09-14,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sakir.ahmedmazumder@gmail.com,complete
2024-01-01,7,PLG2018040393820,111,2018-01-10,Sourabh Popat Rao Maskare,NULL,developer,2002-09-15,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sourabh.popatraomaskare@gmail.com,complete
2024-01-01,7,PLG2018040393817,111,2018-02-02,Ajit Nale,NULL,developer,2002-09-16,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ajit.nale@gmail.com,complete
2024-01-01,7,PLG20180821100126,40,2018-02-02,Sushant N Kanhat,NULL,developer,2002-09-17,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sushant.nkanhat@gmail.com,complete
2024-01-01,7,PLG2018040393819,111,2018-02-06,Rushikesh Ghag,NULL,developer,2002-09-18,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,rushikesh.ghag@gmail.com,complete
2024-01-01,7,PLG2018040393818,141,2018-02-06,Ritesh Mahesh Patil,NULL,developer,2002-09-19,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ritesh.maheshpatil@gmail.com,complete
2024-01-01,7,PLG20180821100125,142,2018-02-24,Rashmi Sanjay Nimkar,NULL,developer,2002-09-20,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,rashmi.sanjaynimkar@gmail.com,complete
2024-01-01,7,PLG2018040393821,109,2018-03-06,Swapnil Mishra,NULL,developer,2002-09-21,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,swapnil.mishra@gmail.com,complete
2024-01-01,4,RON2018052996467,6,2018-04-04,Yogesh Mehta,NULL,developer,2002-09-22,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,yogesh.mehta@gmail.com,running
2024-01-01,4,RON2018052996471,3,2018-05-03,Anmolpreet Singh,NULL,developer,2002-09-23,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,anmolpreet.singh@gmail.com,running
2024-01-01,4,RON2018052996468,3,2018-05-03,Vinayak Bhardwaj,NULL,developer,2002-09-24,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,vinayak.bhardwaj@gmail.com,running
2024-01-01,4,RON20181030102879,3,2018-06-06,Nasim Kousher Mazumder,NULL,developer,2002-09-25,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,nasim.koushermazumder@gmail.com,complete
2024-01-01,4,RON20181030102878,235,2018-06-07,Juel Ahmed Mazumder,NULL,developer,2002-09-26,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,juel.ahmedmazumder@gmail.com,complete
2024-01-01,4,RON20190102104365,47,2018-10-09,Sajal Kumar Das,NULL,developer,2002-09-27,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sajal.kumardas@gmail.com,complete
2024-01-01,7,PLG20190409107923,141,2019-03-01,Tanuj Shah,NULL,developer,2002-09-28,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,tanuj.shah@gmail.com,complete
2024-01-01,7,PLG20190417108223,40,2019-04-01,Shaikh Suhail Ahmed,NULL,developer,2002-09-29,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,shaikh.suhailahmed@gmail.com,complete
2024-01-01,7,PLG20190409107938,40,2019-04-01,Gaurav Manoj Dimple,NULL,developer,2002-09-30,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,gaurav.manojdimple@gmail.com,complete
2024-01-01,7,PLG20190409107937,40,2019-04-01,Hrushikesh Dhok,NULL,developer,2002-10-01,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,hrushikesh.dhok@gmail.com,complete
2024-01-01,7,PLG20190409107935,141,2019-04-01,Aakash Jadhav,NULL,developer,2002-10-02,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,aakash.jadhav@gmail.com,complete
2024-01-01,7,PLG20190409107934,40,2019-04-01,Aakash Jadhav,NULL,developer,2002-10-03,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,aakash.jadhav@gmail.com,running
2024-01-01,7,PLG20190409107933,40,2019-04-01,Aatesh Prakash Bhoir,NULL,developer,2002-10-04,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,aatesh.prakashbhoir@gmail.com,complete
2024-01-01,7,PLG20190409107932,141,2019-04-01,Hrushikesh Dhok,NULL,developer,2002-10-05,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,hrushikesh.dhok@gmail.com,complete
2024-01-01,7,PLG20190409107931,141,2019-04-01,Yashashree Warang,NULL,developer,2002-10-06,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,yashashree.warang@gmail.com,complete
2024-01-01,7,PLG20190409107930,141,2019-04-01,Shaikh Suhail Ahmed,NULL,developer,2002-10-07,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,shaikh.suhailahmed@gmail.com,complete
2024-01-01,7,PLG20190409107929,40,2019-04-01,Tanuj Shah,NULL,developer,2002-10-08,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,tanuj.shah@gmail.com,complete
2024-01-01,7,PLG20190409107928,40,2019-04-01,Shaikh Suhail Ahmed,NULL,developer,2002-10-09,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,shaikh.suhailahmed@gmail.com,running
2024-01-01,7,PLG20190409107927,141,2019-04-01,Mohini,NULL,developer,2002-10-10,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,PLG20190409107927@gmail.com,complete
2024-01-01,7,PLG20190409107926,141,2019-04-01,Rishabh Sasot Hari,NULL,developer,2002-10-11,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,rishabh.sasothari@gmail.com,complete
2024-01-01,7,PLG20190409107925,40,2019-04-01,Yashashree Warang,NULL,developer,2002-10-12,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,yashashree.warang@gmail.com,complete
2024-01-01,7,PLG20190409107924,40,2019-04-01,Rishabh Sasot Hari,NULL,developer,2002-10-13,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,rishabh.sasothari@gmail.com,running
2024-01-01,7,PLG20190409107936,111,2019-04-03,Adityaatmaram Patil,NULL,developer,2002-10-14,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,adityaatmaram.patil@gmail.com,complete
2024-01-01,7,PLG20190409107939,40,2019-04-04,Keyur S Raveryai,NULL,developer,2002-10-15,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,keyur.sraveryai@gmail.com,complete
2024-01-01,1,BHA20190926114963,3,2019-05-18,Riya Chandna,NULL,developer,2002-10-16,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,riya.chandna@gmail.com,complete
2024-01-01,1,BHA20190926114965,3,2019-06-03,Devesh Kumar,NULL,developer,2002-10-17,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,devesh.kumar@gmail.com,running
2024-01-01,1,BHA20190926114962,235,2019-06-06,Sanjana Singh,NULL,developer,2002-10-18,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sanjana.singh@gmail.com,complete
2024-01-01,9,NDS20191118116530,3,2019-06-07,Aryan,NULL,developer,2002-10-19,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,NDS20191118116530@gmail.com,complete
2024-01-01,1,BHA20190926114961,235,2019-06-10,Seema Rani,NULL,developer,2002-10-20,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,seema.rani@gmail.com,complete
2024-01-01,1,BHA20190926114967,235,2019-06-17,Suchita,NULL,developer,2002-10-21,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20190926114967@gmail.com,complete
2024-01-01,9,NDS20191118116532,3,2019-06-19,Shweta,NULL,developer,2002-10-22,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,NDS20191118116532@gmail.com,running
2024-01-01,9,NDS20191118116528,3,2019-06-24,Amit Yadav,NULL,developer,2002-10-23,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,amit.yadav@gmail.com,complete
2024-01-01,9,NDS20200314119588,3,2019-06-25,Nikhil Kumar,NULL,developer,2002-10-24,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,nikhil.kumar@gmail.com,running
2024-01-01,9,NDS20191118116529,3,2019-06-26,Vikrant,NULL,developer,2002-10-25,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,NDS20191118116529@gmail.com,complete
2024-01-01,9,NDS20200314119587,3,2019-07-04,Kuldeep Kumar,NULL,developer,2002-10-26,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,kuldeep.kumar@gmail.com,complete
2024-01-01,1,BHA20190926114960,235,2019-07-06,Reshma,NULL,developer,2002-10-27,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20190926114960@gmail.com,complete
2024-01-01,1,BHA20190926114966,235,2019-07-12,Nishita,NULL,developer,2002-10-28,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20190926114966@gmail.com,running
2024-01-01,1,BHA20191113116400,3,2019-07-18,Menka,NULL,developer,2002-10-29,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20191113116400@gmail.com,complete
2024-01-01,9,NDS20191118116527,3,2019-07-19,Neelam Kumari,NULL,developer,2002-10-30,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,neelam.kumari@gmail.com,complete
2024-01-01,1,BHA20190926114964,235,2019-08-01,Jigyasa Tripathi,NULL,developer,2002-10-31,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,jigyasa.tripathi@gmail.com,complete
2024-01-01,9,NDS20191118116531,3,2019-08-01,Manoj Kumar,NULL,developer,2002-11-01,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,manoj.kumar@gmail.com,complete
2024-01-01,9,NDS20191118116537,3,2019-08-03,Sumit Kumar,NULL,developer,2002-11-02,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sumit.kumar@gmail.com,complete
2024-01-01,9,NDS20191118116533,3,2019-08-05,Amit Kumar,NULL,developer,2002-11-03,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,amit.kumar@gmail.com,complete
2024-01-01,1,BHA20191113116399,235,2019-08-08,Anuj Bahuguna,NULL,developer,2002-11-04,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,anuj.bahuguna@gmail.com,complete
2024-01-01,1,BHA20191113116401,235,2019-08-13,Priya Kumari,NULL,developer,2002-11-05,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,priya.kumari@gmail.com,running
2024-01-01,7,PLG20190828113895,40,2019-08-14,Krupa Pimple,NULL,developer,2002-11-06,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,krupa.pimple@gmail.com,complete
2024-01-01,1,BHA20190926114959,235,2019-08-27,Anandita Gupta,NULL,developer,2002-11-07,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,anandita.gupta@gmail.com,running
2024-01-01,1,BHA20191113116397,235,2019-09-11,Seema,NULL,developer,2002-11-08,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20191113116397@gmail.com,running
2024-01-01,1,BHA20191113116398,235,2019-09-16,Pooja,NULL,developer,2002-11-09,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20191113116398@gmail.com,running
2024-01-01,1,BHA20191113116402,3,2019-10-06,Ritik Kushwaha,NULL,developer,2002-11-10,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ritik.kushwaha@gmail.com,running
2024-01-01,7,"PLG20191116116460, 36",141,2019-10-30,Mayuri Ankush Sankhe,NULL,developer,2002-11-11,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,mayuri.ankushsankhe@gmail.com,running
2024-01-01,7,PLG20191116116460,40,2019-10-30,Mayuri Ankush Sankhe,NULL,developer,2002-11-12,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,mayuri.ankushsankhe@gmail.com,complete
2024-01-01,7,PLG20191116116458,40,2019-11-01,Sushant N Kanhat,NULL,developer,2002-11-13,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sushant.nkanhat@gmail.com,complete
2024-01-01,7,PLG20191115116436,141,2019-11-02,Mayuri Ankush Sankhe,NULL,developer,2002-11-14,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,mayuri.ankushsankhe@gmail.com,complete
2024-01-01,7,PLG20191116116457,141,2019-11-06,Deepak R Bhurkud,NULL,developer,2002-11-15,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,deepak.rbhurkud@gmail.com,complete
2024-01-01,9,NDS20210701127450,3,2020-01-05,Rajnish Kumar,NULL,developer,2002-11-16,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,rajnish.kumar@gmail.com,complete
2024-01-01,9,NDS20210701127449,3,2020-01-05,Kranti Raj,NULL,developer,2002-11-17,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,kranti.raj@gmail.com,complete
2024-01-01,9,NDS20200314119586,3,2020-01-07,Komal,NULL,developer,2002-11-18,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,NDS20200314119586@gmail.com,running
2024-01-01,9,NDS20210430127137,3,2020-02-10,Abhishek Kumar Dixit,NULL,developer,2002-11-19,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,abhishek.kumardixit@gmail.com,complete
2024-01-01,9,NDS20200314119585,238,2020-02-12,Ganesh Prasad,NULL,developer,2002-11-20,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ganesh.prasad@gmail.com,running
2024-01-01,2,KOP20210619127349,3,2020-02-13,Pinki Kumari,NULL,developer,2002-11-21,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,pinki.kumari@gmail.com,complete
2024-01-01,2,KOP20221116146844,3,2020-02-15,Jyoti Maddheshiya,NULL,developer,2002-11-22,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,jyoti.maddheshiya@gmail.com,complete
2024-01-01,2,KOP20211023131179,49,2020-02-15,Eisha Kumari,NULL,developer,2002-11-23,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,eisha.kumari@gmail.com,complete
2024-01-01,3,NEA20210414126874,53,2020-02-22,Krishna,NULL,developer,2002-11-24,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,NEA20210414126874@gmail.com,running
2024-01-01,2,KOP20210407126718,3,2020-03-01,Saroj Kumar Manjhi,NULL,developer,2002-11-25,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,saroj.kumarmanjhi@gmail.com,complete
2024-01-01,2,KOP20210407126717,3,2020-03-01,Alok Kumar Mahato,NULL,developer,2002-11-26,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,alok.kumarmahato@gmail.com,complete
2024-01-01,2,KOP20210407126716,3,2020-03-01,Jeetu Kumar Sharma,NULL,developer,2002-11-27,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,jeetu.kumarsharma@gmail.com,complete
2024-01-01,2,KOP20210407126715,3,2020-03-01,Pintu Kumar Singh,NULL,developer,2002-11-28,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,pintu.kumarsingh@gmail.com,complete
2024-01-01,2,KOP20210407126714,3,2020-03-01,Vishnu Pandey,NULL,developer,2002-11-29,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,vishnu.pandey@gmail.com,complete
2024-01-01,2,KOP20210407126713,3,2020-03-01,Sneha Kumari,NULL,developer,2002-11-30,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sneha.kumari@gmail.com,complete
2024-01-01,2,KOP20210407126712,3,2020-03-01,Sapna Kumari,NULL,developer,2002-12-01,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sapna.kumari@gmail.com,complete
2024-01-01,2,KOP20210407126711,3,2020-03-01,Satyendra Kumar Ray,NULL,developer,2002-12-02,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,satyendra.kumarray@gmail.com,complete
2024-01-01,2,KOP20210407126710,3,2020-03-01,Mithilesh Kumar Singh,NULL,developer,2002-12-03,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,mithilesh.kumarsingh@gmail.com,complete
2024-01-01,2,KOP20210407126709,3,2020-03-01,Monu Kumar Pandey,NULL,developer,2002-12-04,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,monu.kumarpandey@gmail.com,complete
2024-01-01,2,KOP20210407126708,3,2020-03-01,Suhani Kumari,NULL,developer,2002-12-05,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,suhani.kumari@gmail.com,complete
2024-01-01,2,KOP20210407126707,3,2020-03-01,Subhash Kumar Singh,NULL,developer,2002-12-06,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,subhash.kumarsingh@gmail.com,complete
2024-01-01,2,KOP20210407126706,3,2020-03-01,Ritesh Kumar Mahato,NULL,developer,2002-12-07,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ritesh.kumarmahato@gmail.com,complete
2024-01-01,2,KOP20210407126705,3,2020-03-01,Pushpa Kumari,NULL,developer,2002-12-08,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,pushpa.kumari@gmail.com,complete
2024-01-01,2,KOP20210407126704,3,2020-03-01,Vishal Kumar Singh,NULL,developer,2002-12-09,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,vishal.kumarsingh@gmail.com,complete
2024-01-01,2,KOP20210407126703,3,2020-03-01,Shivam Kumar Yadav,NULL,developer,2002-12-10,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,shivam.kumaryadav@gmail.com,complete
2024-01-01,2,KOP20210407126702,3,2020-03-01,Rahul Kumar Ram,NULL,developer,2002-12-11,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,rahul.kumarram@gmail.com,complete
2024-01-01,2,KOP20210407126701,235,2020-03-01,Ajmat Ali,NULL,developer,2002-12-12,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ajmat.ali@gmail.com,complete
2024-01-01,2,KOP20210407126700,235,2020-03-01,Mantosh Kumar Singh,NULL,developer,2002-12-13,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,mantosh.kumarsingh@gmail.com,complete
2024-01-01,2,KOP20210407126699,8,2020-03-01,Ankita Kumari,NULL,developer,2002-12-14,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ankita.kumari@gmail.com,complete
2024-01-01,2,KOP20210407126698,8,2020-03-01,Saurabh Varnwal,NULL,developer,2002-12-15,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,saurabh.varnwal@gmail.com,complete
2024-01-01,2,KOP20210407126697,3,2020-03-01,Priyanshu Kumar,NULL,developer,2002-12-16,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,priyanshu.kumar@gmail.com,complete
2024-01-01,2,KOP20210407126696,3,2020-03-01,Sonu Kumar Paswan,NULL,developer,2002-12-17,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sonu.kumarpaswan@gmail.com,complete
2024-01-01,2,KOP20210407126695,3,2020-03-01,Vikash Kumar Yadav,NULL,developer,2002-12-18,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,vikash.kumaryadav@gmail.com,complete
2024-01-01,3,NEA20210414126871,47,2020-03-02,Gulshan Sharma,NULL,developer,2002-12-19,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,gulshan.sharma@gmail.com,complete
2024-01-01,3,NEA20210414126870,47,2020-03-07,Sachin Gautam,NULL,developer,2002-12-20,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sachin.gautam@gmail.com,complete
2024-01-01,2,KOP20210619127350,3,2020-03-13,Sapna Kumari,NULL,developer,2002-12-21,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sapna.kumari@gmail.com,complete
2024-01-01,9,NDS20210430127136,235,2020-03-14,Priyanshu,NULL,developer,2002-12-22,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,NDS20210430127136@gmail.com,complete
2024-01-01,2,KOP20211102131465,3,2020-03-15,Sarita Kumari,NULL,developer,2002-12-23,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sarita.kumari@gmail.com,complete
2024-01-01,2,KOP20211102131464,3,2020-03-18,Sonu Kumar Ray,NULL,developer,2002-12-24,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sonu.kumarray@gmail.com,complete
2024-01-01,1,BHA20200118118014,3,2020-05-05,Manisha Rawat,NULL,developer,2002-12-25,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,manisha.rawat@gmail.com,complete
2024-01-01,9,NDS20210827129054,3,2020-05-20,Yogendra Singh,NULL,developer,2002-12-26,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,yogendra.singh@gmail.com,complete
2024-01-01,3,NEA20210414126878,4,2020-08-21,Rohit Kumar,NULL,developer,2002-12-27,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,rohit.kumar@gmail.com,running
2024-01-01,1,BHA20210414126855,3,2020-09-12,Hibaiqrar,NULL,developer,2002-12-28,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20210414126855@gmail.com,running
2024-01-01,3,NEA20210414126879,4,2020-09-29,Sunny Thakur,NULL,developer,2002-12-29,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,sunny.thakur@gmail.com,running
2024-01-01,1,BHA20210414126854,3,2020-10-06,Aarti,NULL,developer,2002-12-30,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,BHA20210414126854@gmail.com,running
2024-01-01,3,NEA20210414126881,47,2020-10-08,Ravi Kumar,NULL,developer,2002-12-31,male,1.jpg,mandawali,New delhi,1,1,9876543210,9876543210,ravi.kumar@gmail.com,running
